ID; name; description; talk; password; key0; key1; key2; fd; level; type; class; race; numwander; alignment; strength; dexterity; constitution; intelligence; piety; hpmax; hpcur; mpmax; mpcur; armor; thaco; experience; gold; ndice; sdice; pdice; special; proficiency0; proficiency1; proficiency2; proficiency3; proficiency4; proficiency5; realm0; realm1; realm2; realm3; realm4; realm5; realm6; realm7; spells0; spells1; spells2; spells3; spells4; spells5; spells6; spells7; spells8; spells9; spells10; spells11; spells12; spells13; spells14; spells15; flags0; flags1; flags2; flags3; flags4; flags5; flags6; flags7; flags8; flags9; flags10; flags11; flags12; flags13; flags14; flags15; quests0; quests1; quests2; quests3; quests4; quests5; quests6; quests7; quests8; quests9; quests10; quests11; quests12; quests13; quests14; quests15; questnum; carry0; carry1; carry2; carry3; carry4; carry5; carry6; carry7; carry8; carry9; rom_num; bank_balance; title; misc_stats0; misc_stats1; misc_stats2; misc_stats3; misc_stats4; clanindex; clanexp; guildtype; guildexp; special1; special2
0; ; ; ; 0; ; ; ; -1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1472132448; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0 
1; laborer; He's a sweaty looking laborer.; I'm busy, so stay outta my way.; 1; ; ; ; -1; 1; 1; 4; 0; 0; 100; 13; 10; 11; 10; 11; 10; 10; 0; 0; 90; 19; 10; 5; 2; 2; 1; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 11; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 17; 101; 10; 101; 21; 3; 0; 0; 0; 0; 0; 101; 1472137248; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1 
2; vagrant; He ain't got nothing but himself.; <Hic!> Ya gott summ beer? <Hic!>; 2; ; ; ; -1; 1; 1; 0; 0; 0; 30; 9; 9; 11; 11; 11; 7; 7; 0; 0; 100; 19; 6; 0; 1; 4; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 11; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 4; 0; 0; 0; 0; 0; 4; 1472142048; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2 
3; scribe; He carries in his hand a bunch of small books and scrolls.; <Yawn> You bore me; 3; scribe; ; ; -1; 1; 1; 0; 0; 2; 50; 11; 10; 11; 11; 11; 10; 10; 0; 0; 90; 19; 10; 20; 2; 2; 1; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 11; 12; 23; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10; 7; 0; 0; 0; 0; 9; 0; 36; 0; 10; 1472146848; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3 
4; nobleman; This guy's probably never worked a day in his life.; I spit on thee, you working-class knave.; 4; ; ; ; -1; 1; 1; 0; 0; 0; 5; 7; 7; 12; 13; 9; 8; 8; 0; 0; 90; 20; 4; 30; 1; 3; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 4; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 8; 0; 38; 0; 39; 0; 0; 1472151648; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4 
5; bowyer; He's made so many bows in his day that he practically looks like one.; ; 5; ; ; ; -1; 2; 1; 0; 0; 0; 50; 10; 13; 11; 11; 11; 20; 20; 0; 0; 70; 18; 20; 0; 2; 2; 2; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 34; 34; 24; 15; 15; 38; 0; 0; 0; 17; 0; 34; 1472156448; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5 
6; merchant; She's a typical seedy-looking street-merchant.; Care to buy an apple?; 6; ; ; ; -1; 1; 1; 0; 0; 0; 20; 11; 11; 11; 11; 11; 8; 8; 0; 0; 90; 19; 6; 2; 1; 3; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 4; 4; 7; 8; 9; 10; 75; 11; 0; 2; 1472161248; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6 
7; sailor; He must be on leave from his ship in the Boraspian Sea.; Aye, where's the bordello?; 7; ; ; ; -1; 1; 1; 0; 0; 0; 15; 12; 11; 11; 10; 11; 10; 10; 0; 0; 85; 19; 10; 0; 2; 2; 1; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 40; 40; 40; 3; 3; 3; 2; 11; 10; 9; 0; 40; 1472166048; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7 
8; peasant; The poor old sap probably learned to tie his shoes at age 18.; ; 8; ; ; ; -1; 1; 1; 0; 0; 0; 70; 13; 10; 11; 7; 11; 6; 6; 0; 0; 90; 19; 3; 0; 1; 4; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 41; 42; 42; 41; 0; 46; 46; 0; 0; 0; 0; 42; 1472170848; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8 
9; monk; This monk has obviously been cooped up in a monastery too long. Pale as a sheet; ; 9; ; ; ; -1; 2; 1; 3; 0; 0; 100; 10; 10; 9; 12; 17; 13; 13; 6; 6; 90; 18; 10; 0; 1; 5; 0; 0; 0; 0; 0; 0; 0; 1024; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 43; 36; 44; 50; 50; 50; 50; 43; 50; 36; 0; 36; 1472175648; (null); 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9 
